原文	訂正	個別評価	評価
少女時代とかkaraとかを始めて、日本のドラマ、音楽の話をした。	少女時代とかkaraとかを始めて、日本のドラマや音楽の話をした。	"4,4,3"	3.6666666666666665
小学校で学生には数学、ポルトガル語、理科、歴史、地理学、幾何学、体育、そしても哲学があります。	小学校で学生には数学、ポルトガル語、理科、歴史、地理学、幾何学、体育、そしても哲学があります。	"2,3,2"	2.3333333333333335
日本人と会話をしてみたいですけど、私にとってやはり難しすぎだと思います。	日本人と会話をしてみたいですけど、私にとってはやはり難しすぎだと思います。	"4,4,3"	3.6666666666666665
その原因で中学生と高校生はホットなクラブ以外、放課後はあまり部活しません。	その原因で中学生と高校生はホットクラブ以外、放課後はあまり部活をしません。	"1,1,1"	1.0
近年、シンガポールにおけるHDBという団地に住んでいる外国人が増えているので、お金持ちの外国人だからって別にBukit Timah Roadで居を構わなければいけないとは限りません。	近年、シンガポールにおけるHDBという団地に住んでいる外国人が増えているので、お金持ちの外国人だからって別に探検する工場で居を構わなければいけないとは限りません。	"1,1,1"	1.0
今日は英語授業で日本人同級生がめまいがして倒れた。	今日は英語の授業で日本人同級生がめまいがして倒れた。	"3,4,4"	3.6666666666666665
ほかの言語を学ぶのこと	ほかの言語を学ぶこと	"3,3,3"	3.0
今日は私のたんじょう日です。	今日は私のたんじょう日です。	"4,4,4"	4.0
甥さんの二人と従兄弟ちゃいた。	甥さんの二人と従兄弟ちゃいました。	"3,2,2"	2.3333333333333335
後でサングリアを作りました。	後でTargetを作りました。	"1,1,1"	1.0
それに原子力発電所の事故がありました。	それに原子力発電所の事故がありました。	"4,4,4"	4.0
私の夢	私の夢	"2,3,3"	2.6666666666666665
最後私たちはやはり授業してしまいました。	最後に私たちはやはり授業してしまいました。	"4,4,3"	3.6666666666666665
両国の入学の方法は全然違います。	両国の入学方法は全然違います。	"3,4,3"	3.3333333333333335
また、いわゆる野党も「さらに、全部の吸うのために者が禁じらなきゃ」と言って、即す。	また、いわゆる野党も「さらに、全部の吸うために者が禁じらなきゃ」と言って、王冠。	"1,1,1"	1.0
オーストラリアに社会人学生は参入する際の障壁がないけど、日本にこれはおかしそうです。	オーストラリアに社会人学生は参入する際の障壁がないけど、日本ではこれはおかしいそうです。	"4,4,4"	4.0
とうも　ありがとう。	とうも　ありがとう。	"2,2,2"	2.0
今日のテーマは日台間でワーキングホリデー開始です。	今日のテーマは日台間でワーキングホリデー開始です。	"4,4,3"	3.6666666666666665
友人も私の言葉で影響を与えて何か希望に溢れ満ちるそうでした。	友人も私の言葉で影響を与えて何か希望に溢れ満ちるそうでした。	"4,4,3"	3.6666666666666665
友達は私の日記を直させてしまってと思いました。	友達は私の日記を直してしまったと思いました。	"4,4,4"	4.0
どうやってほうがいいでしょうか、全然わからない。	どうやってほうがいいのか、全然わからない。	"3,2,3"	2.6666666666666665
だから、貧乏も大学に入るようになるにちがありません。	だから、貧乏も大学に入るようになることがありません。	"1,1,2"	1.3333333333333333
友達とお互いにこの間の近況を話し合って、いろいろおしゃべりしました。	友達とお互いにこの間の近況を話し合って、いろいろおしゃべりしました。	"4,4,4"	4.0
ゴーンさんのご両親はレバノン人なのですけど、ゴーンさんはブラジルにで生まれました。	らしいさんのご両親は思人なのですけど、多くさんはブラジルで生まれました。	"1,1,1"	1.0
このかしは、日本人にとってどういう意味を持っているでしょうか。	このかしは、日本人にとってどういう意味を持っているでしょうか。	"4,4,4"	4.0
やる気がなくなったしまいました。	やる気がなくなってしまいました。	"4,4,4"	4.0
日曜日、カレーの材料を買いました。	日曜日、カレーの材料を買いました。	"4,4,4"	4.0
ボランテイアをしたことがありますか。	ボランティアをしたことがありますか。	"4,4,4"	4.0
そして、どうやって先生になることも一つ大切な問題だかな…	そして、どうやって先生になることも一つの大切な問題かな…	"3,3,3"	3.0
よかったです。	よかったです。	"4,4,4"	4.0
まるの体と歩くの姿はかわいいな～～	まる体と歩く姿はかわいいな～～	"1,2,2"	1.6666666666666667
心は見えないけれど	心は見えなかったけれど	"2,3,3"	2.6666666666666665
ですから、受けるの自信が余りありません。	ですから、受ける自信が余りありません。	"4,4,4"	4.0
それに、たくさん本を読めて、もっとおとなしくなれるように！	それに、たくさん本を読めて、もっとおとなしくなれるように！	"4,4,4"	4.0
やっと日本についてやんぜ！	やっと日本についてやめたぜ！	"2,2,2"	2.0
私にとってゆめみたい仕事です	私にとって初めての仕事です	"1,1,2"	1.3333333333333333
今週はとても忙しいですよ！	今週はとても忙しいです！	"4,4,3"	3.6666666666666665
第一はお金です。	第一はお金です。	"4,4,4"	4.0
今日は聴力を練習しました。	今日は聞き取りを練習しました。	"4,4,3"	3.6666666666666665
食事の後、体育館の二階に行って、久しぶりにテキストを大声で朗読した。	食事の後、体育館の二階に行って、久しぶりにテキストを大声で朗読しました。	"4,4,3"	3.6666666666666665
私の友だちは日本りょうりとアメリカりょうりとどちらがいいですかと言った。	私の友だちは日本りょうりとアメリカりょうりとどちらがいいですかと言った。	"4,4,3"	3.6666666666666665
でもあのままです。	でもそのままです。	"4,3,4"	3.6666666666666665
こんにちは。	こんにちは。	"4,4,4"	4.0
すっかり掃除をするとゴキブリなどもう部屋に紛れていなくなると思いますね。	すっかり掃除をするとゴキブリなどはもう部屋に紛れていなくなると思いますね。	"4,4,3"	3.6666666666666665
ブラジル人だから、もちろんポルトガル語が好きだね。	ブラジル人だから、もちろんポルトガル語が好きだね。	"4,4,4"	4.0
きっと大丈夫です、きっとよくなります、って自分に言ったら、再スタートし始まったんでしょうね。	きっと大丈夫です、きっとよくなります、って自分に言ったら、再スタートし始まったんでしょうね。	"4,4,4"	4.0
英語で歌ったら、それは日本人にとってかっこいでしょうか。	英語で歌ったら、それは日本人にとってかっこいいでしょうか。	"4,4,4"	4.0
言語	言語	"2,3,3"	2.6666666666666665
カテンを開けと、空はちょっとしたの黄色を染めったように見えた。	カテンを開けと、空はちょっとしたの黄色を染めたように見えた。	"2,2,3"	2.3333333333333335
